Datetime : 2021-02-05 18:03:55.463307
Iter: [5000][188/586]	TEST PSNR: ( 32.2234,  34.1665)	val_loss: ( 0.0174,  0.0139)	
Iter: [5000][189/586]	TEST PSNR: ( 37.8620,  34.1860)	val_loss: ( 0.0096,  0.0139)	
Iter: [5000][190/586]	TEST PSNR: ( 33.9728,  34.1848)	val_loss: ( 0.0129,  0.0139)	
Iter: [5000][191/586]	TEST PSNR: ( 33.0838,  34.1791)	val_loss: ( 0.0171,  0.0139)	
Iter: [5000][192/586]	TEST PSNR: ( 34.0503,  34.1784)	val_loss: ( 0.0169,  0.0139)	
Iter: [5000][193/586]	TEST PSNR: ( 34.1018,  34.1780)	val_loss: ( 0.0144,  0.0139)	
Iter: [5000][194/586]	TEST PSNR: ( 35.9597,  34.1872)	val_loss: ( 0.0108,  0.0139)	
Iter: [5000][195/586]	TEST PSNR: ( 37.0860,  34.2020)	val_loss: ( 0.0098,  0.0139)	
Iter: [5000][196/586]	TEST PSNR: ( 35.3914,  34.2080)	val_loss: ( 0.0119,  0.0139)	
Iter: [5000][197/586]	TEST PSNR: ( 34.3086,  34.2085)	val_loss: ( 0.0118,  0.0139)	
Iter: [5000][198/586]	TEST PSNR: ( 35.9013,  34.2170)	val_loss: ( 0.0126,  0.0139)	
Iter: [5000][199/586]	TEST PSNR: ( 33.6080,  34.2140)	val_loss: ( 0.0143,  0.0139)	
Iter: [5000][200/586]	TEST PSNR: ( 33.0769,  34.2083)	val_loss: ( 0.0177,  0.0139)	
Iter: [5000][201/586]	TEST PSNR: ( 33.6265,  34.2054)	val_loss: ( 0.0128,  0.0139)	
Iter: [5000][202/586]	TEST PSNR: ( 35.4573,  34.2116)	val_loss: ( 0.0149,  0.0139)	
Iter: [5000][203/586]	TEST PSNR: ( 35.9302,  34.2200)	val_loss: ( 0.0100,  0.0139)	
Iter: [5000][204/586]	TEST PSNR: ( 34.3956,  34.2209)	val_loss: ( 0.0123,  0.0138)	
Iter: [5000][205/586]	TEST PSNR: ( 33.8021,  34.2189)	val_loss: ( 0.0124,  0.0138)	
Iter: [5000][206/586]	TEST PSNR: ( 35.6928,  34.2260)	val_loss: ( 0.0102,  0.0138)	
Iter: [5000][207/586]	TEST PSNR: ( 34.1019,  34.2254)	val_loss: ( 0.0132,  0.0138)	
Iter: [5000][208/586]	TEST PSNR: ( 33.3756,  34.2213)	val_loss: ( 0.0155,  0.0138)	
Iter: [5000][209/586]	TEST PSNR: ( 33.0946,  34.2160)	val_loss: ( 0.0209,  0.0139)	
Iter: [5000][210/586]	TEST PSNR: ( 32.5712,  34.2082)	val_loss: ( 0.0147,  0.0139)	
Iter: [5000][211/586]	TEST PSNR: ( 31.8120,  34.1969)	val_loss: ( 0.0214,  0.0139)	
Iter: [5000][212/586]	TEST PSNR: ( 31.5833,  34.1846)	val_loss: ( 0.0165,  0.0139)	
Iter: [5000][213/586]	TEST PSNR: ( 33.3507,  34.1807)	val_loss: ( 0.0157,  0.0139)	
